ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2559,300709.99,38.29,39.73,40.1,16.47
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2559,72729.07,15.31,7.09,1.54,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2559,64110.6,17.84,1.84,0.72,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2559,2232.78,0.55,0.15,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2559,0,0,0,0,0
30,นครราชสีมา          ,Nakhon Ratchasima   ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2559,0,0,0,0,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,1274.96,0,0.1,1.2,0,,
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,131537.71,4.8,31.8,67.4,41.9
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,189835.73,36.4,49.3,22.2,0
34,อุบลราชธานี         ,Ubon Ratchathani    ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,118271.89,41.8,15.4,7.4,58.1
