ProvinceKey,ProvinceName,ProvinceNameEng,RegionKey,Region,RegionEng,HouseholdIncomeRangeKey,HouseholdIncomeRange,HouseholdIncomeRangeEng,Year,TotalHousehold,HouseholdSize2Person,HouseholdSize4Person,HouseholdSize7Person,HouseholdSize8More,,,,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,110347.2,26.7,21.9,25.7,0
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,131795,14,33.8,34.2,32.8
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,55077.8,6.9,13,14.7,32.1
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,35653.4,4.6,7,13.7,8.1
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,5743.1,0.4,0.8,3.6,0,,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,7570,0.4,1.6,5.8,0,,
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,64303,8.7,18.2,32.5,0
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,106753,23,36.2,27.8,44.6
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,109727,39.1,27,26.7,22.6
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,33876,11.2,10.1,5.8,11.5
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,25155,11.9,5.9,1.5,21.3
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,4618,3.9,0,0,0
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,3118,1.3,1.1,0,0
41,อุดรธานี            ,Udon Thani          ,2,ภาคกลาง,Central,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,482,0.4,0,0,0,,
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0.4,0,1.3,0,0,,
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,0.1,0,0,4,0
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,6.8,5.3,9.9,15.9,0
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,28.7,22.8,41.7,42.5,0
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,43.1,45.7,38.2,26.9,0
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,11.7,14.7,5.3,0,0
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,7.8,9.5,3.6,10.7,0
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,0.9,1.3,0,0,0
50,เชียงใหม่           ,Chiang Mai          ,1,กรุงเทพมหานคร,Bangkok Metropolis,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,0.5,0.7,0,0,0,,
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,3013,0.9,3.5,21.6,89.9,,
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,18970,16.6,43.5,29.2,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,18586,31.6,26.9,33.1,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,14989,31.1,19.4,14.9,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,1859,4.5,2.1,0.4,10.1
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,4402,11.5,4.4,0.4,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,729,2.5,0.2,0,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,288,1.1,0,0,0
58,แม่ฮ่องสอน          ,Mae Hong Son        ,1,กรุงเทพมหานคร,Bangkok Metropolis,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,90,0.2,0,0.4,0,,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,0.4,0.3,0.4,2.1,0,,
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,0.2,0,0.5,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,5.9,2,13.6,11.3,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,38.4,34,44.7,60.1,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,37.3,43.1,27,21.1,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,15.1,18,11.2,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,2.1,1.9,1.9,5.4,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,0.6,0.6,0.7,0,0
11,สมุทรปราการ         ,Samut Prakarn       ,5,ภาคใต้,Southern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,0,0,0,0,0,,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2556,2700.1,0,0,2.7,0,,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2556,57701.1,10.2,9.2,16.5,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2556,141773,20.9,31.2,26.1,87.1
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2556,184518.5,32.9,35.1,38.5,12.9
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2556,54352.6,14.7,8.9,5,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2556,67166.9,15.3,13.6,5.8,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2556,18449.3,4.3,2,5.4,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2556,3419.6,1.7,0,0,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2556,0,0,0,0,0,,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,2.4,1.3,2.7,2,28.1,,
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,9,3.8,5.9,26.8,31.2
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,24.8,13.3,31.5,35,3.5
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,37.4,40.2,39.5,26.9,33.7
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,14,10,001 - 15,000 บาท,10,001 - 15,000 baht,2558,14.2,23.9,9.4,5.2,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,15,15,001 - 30,000 บาท,15,001 - 30,000 baht,2558,8.8,12.8,8.2,2.1,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,16,30,001 - 50,000 บาท,30,001 - 50,000 baht,2558,2.4,3.3,1.7,2,3.5
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,17,50,001 - 100,000 บาท,50,001 - 100,000 baht,2558,1,1.4,1.1,0,0
80,นครศรีธรรมราช       ,Nakhon Si Thammarat ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,18,มากกว่า 100,000 บาท,More than 100,000 baht,2558,0,0,0,0,0,,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,10,ต่ำกว่า 1,500 บาท,Less than 1,500 baht,2558,598.45,0.6,0,0,0,,
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,11,1,500 - 3,000 บาท,1,500 - 3,000 baht,2558,626.69,0.6,0,0,0
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,12,3,001 - 5,000 บาท,3,001 - 5,000 baht,2558,9082.75,0.9,9.4,14.9,0
83,ภูเก็ต              ,Phuket              ,4,ภาคตะวันออกเฉียงเหนือ,Northeastern,13,5,001 - 10,000 บาท,5,001 - 10,000 baht,2558,52671.26,17.3,42.7,58.6,0
